battery_id,order_id,battery_name_id,quantity,order_date,order_time,unit_price,total_price,battery_size,battery_category,battery_specifications,battery_name
1,19830,universal_battery_pack_id,1,30-03-2024,18:16:20,43157.31,43157.31,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
2,4479,high_capacity_li_ion_id,1,24-05-2024,13:33:20,79289.93,79289.93,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
3,17772,intelligent_power_pack_id,1,02-04-2024,14:05:25,42488.4,42488.4,M,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
4,7615,intelligent_power_pack_id,1,21-10-2024,17:41:17,39070.36,39070.36,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
5,20842,quick_swap_power_pack_id,1,27-07-2024,13:56:21,43147.12,43147.12,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
6,7687,high_capacity_li_ion_id,1,22-02-2024,18:39:13,94055.51,94055.51,M,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
7,18757,intelligent_power_pack_id,1,19-04-2024,16:01:59,28240.01,28240.01,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
8,13486,intelligent_power_pack_id,1,09-08-2024,15:37:03,43440.03,43440.03,M,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
9,11581,quick_swap_power_pack_id,1,15-11-2024,11:18:43,40837.99,40837.99,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
10,7623,high_capacity_li_ion_id,1,12-07-2024,18:48:03,82881.06,82881.06,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
11,785,high_capacity_li_ion_id,1,19-06-2024,11:28:44,70444.43,70444.43,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
12,17607,universal_battery_pack_id,1,17-12-2024,18:38:25,36146.58,36146.58,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
13,9516,generic_lithium_ion_pack_id,1,31-07-2024,12:52:00,43246.98,43246.98,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
14,11621,quick_swap_power_pack_id,1,29-06-2024,18:11:46,44052.48,44052.48,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
15,13322,universal_battery_pack_id,1,29-10-2024,18:48:44,36903.76,36903.76,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
16,1213,quick_swap_power_pack_id,1,25-09-2024,13:58:53,28059.81,28059.81,S,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
17,3467,generic_lithium_ion_pack_id,1,05-03-2024,21:22:02,46718.2,46718.2,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
18,10564,intelligent_power_pack_id,1,07-07-2024,20:59:07,43260.34,43260.34,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
19,19650,quick_swap_power_pack_id,1,04-02-2024,17:59:54,34842.07,34842.07,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
20,6392,intelligent_power_pack_id,1,27-04-2024,12:21:56,37948.41,37948.41,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
21,7257,universal_battery_pack_id,1,26-10-2024,14:49:49,45144.32,45144.32,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
22,10345,universal_battery_pack_id,1,25-05-2024,13:19:27,35629.28,35629.28,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
23,20008,universal_battery_pack_id,1,22-11-2024,18:17:33,59727.47,59727.47,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
24,7274,intelligent_power_pack_id,1,30-06-2024,17:11:29,43535.66,43535.66,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
25,12258,quick_swap_power_pack_id,1,16-06-2024,12:53:15,38894.43,38894.43,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
26,8289,generic_lithium_ion_pack_id,1,10-08-2024,13:00:55,54342.18,54342.18,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
27,15432,quick_swap_power_pack_id,1,30-01-2024,15:30:53,44368.63,44368.63,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
28,4794,intelligent_power_pack_id,1,06-10-2024,15:54:26,42857.44,42857.44,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
29,9323,high_capacity_li_ion_id,1,10-07-2024,21:01:50,64201.08,64201.08,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
30,15291,universal_battery_pack_id,1,24-01-2024,21:08:36,32969.97,32969.97,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
31,9553,high_capacity_li_ion_id,1,21-04-2024,18:49:09,60087.64,60087.64,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
32,21110,intelligent_power_pack_id,1,21-09-2024,12:30:49,39524.14,39524.14,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
33,5740,generic_lithium_ion_pack_id,1,04-10-2024,11:57:44,30884.57,30884.57,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
34,19075,intelligent_power_pack_id,1,03-05-2024,22:52:49,48876.43,48876.43,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
35,7518,intelligent_power_pack_id,1,08-02-2024,21:22:02,38408.84,38408.84,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
36,16797,quick_swap_power_pack_id,1,06-04-2024,15:58:32,34966.04,34966.04,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
37,8751,quick_swap_power_pack_id,1,18-11-2024,13:25:12,47690.02,47690.02,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
38,6496,universal_battery_pack_id,1,08-06-2024,19:49:03,66404.89,66404.89,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
39,1285,high_capacity_li_ion_id,1,19-12-2024,16:18:42,90482.73,90482.73,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
40,3205,universal_battery_pack_id,1,10-10-2024,17:31:33,61556.75,61556.75,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
41,13501,quick_swap_power_pack_id,1,16-11-2024,19:08:49,30751.25,30751.25,S,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
42,16929,universal_battery_pack_id,1,09-02-2024,19:43:53,43632.71,43632.71,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
43,11980,intelligent_power_pack_id,1,15-09-2024,18:05:57,25423.37,25423.37,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
44,14676,quick_swap_power_pack_id,1,26-11-2024,20:21:07,40648.4,40648.4,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
45,13961,universal_battery_pack_id,1,14-12-2024,13:35:47,56241.18,56241.18,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
46,15266,high_capacity_li_ion_id,1,11-02-2024,17:49:17,107316.69,107316.69,M,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
47,2680,high_capacity_li_ion_id,1,19-07-2024,16:10:21,111454.93,111454.93,M,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
48,9553,generic_lithium_ion_pack_id,1,13-07-2024,18:49:09,55896.26,55896.26,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
49,9032,universal_battery_pack_id,1,20-07-2024,11:47:49,58678.87,58678.87,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
50,18138,high_capacity_li_ion_id,1,23-01-2024,20:28:16,72960.71,72960.71,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
51,21271,high_capacity_li_ion_id,1,29-04-2024,19:07:52,114596.5,114596.5,M,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
52,18845,quick_swap_power_pack_id,3,13-08-2024,12:25:12,25642.54,76927.63,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
53,18315,universal_battery_pack_id,1,21-10-2024,18:26:49,68722.85,68722.85,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
54,18809,universal_battery_pack_id,1,06-10-2024,14:13:42,30228.49,30228.49,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
55,11365,high_capacity_li_ion_id,1,16-12-2024,15:16:57,74676.35,74676.35,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
56,1813,high_capacity_li_ion_id,1,05-08-2024,17:21:03,93355.05,93355.05,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
57,9545,intelligent_power_pack_id,1,15-01-2024,17:14:17,29975.09,29975.09,M,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
58,6220,intelligent_power_pack_id,1,04-12-2024,13:17:16,39372.61,39372.61,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
59,3892,universal_battery_pack_id,1,06-10-2024,15:00:38,45247.3,45247.3,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
60,891,generic_lithium_ion_pack_id,1,14-03-2024,17:43:34,66349.29,66349.29,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
61,4237,universal_battery_pack_id,1,14-01-2024,12:53:21,66212.32,66212.32,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
62,12227,generic_lithium_ion_pack_id,1,22-07-2024,18:30:59,40226.18,40226.18,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
63,6523,high_capacity_li_ion_id,1,24-09-2024,13:15:19,69358.59,69358.59,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
64,18243,universal_battery_pack_id,1,11-09-2024,16:57:40,44335.19,44335.19,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
65,16682,high_capacity_li_ion_id,1,07-04-2024,14:57:58,90212.37,90212.37,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
